Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
COL15A1		ENSG00000204291	Collagen, type XV, alpha 1	9	98943179-99070792	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA017913, HPA017915	Supportive				Tissue enhanced	0	placenta: 159.5	smooth muscle: 83.7
COL16A1		ENSG00000084636	Collagen, type XVI, alpha 1	1	31652247-31704319	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA027235, HPA027237	Uncertain		Uncertain	Plasma membrane, Cytoplasm, Golgi apparatus	Tissue enhanced	0	ovary: 118.2	prostate: 55.6
COL18A1	KNO, KNO1, KS	ENSG00000182871	Collagen, type XVIII, alpha 1	21	45405137-45513720	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB001961, HPA011025, HPA036104	Uncertain		Uncertain	Golgi apparatus	Expressed in all			liver: 104.9
COL19A1		ENSG00000082293	Collagen, type XIX, alpha 1	6	69866571-70209976	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA042422	Uncertain				Tissue enhanced	0	tonsil: 2.1	lymph node: 1.7
COL1A1	OI4	ENSG00000108821	Collagen, type I, alpha 1	17	50183289-50201632	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA008405, HPA011795	Uncertain		Uncertain	Cytoplasm, Cytoskeleton (Intermediate filaments)	Expressed in all			gallbladder: 995.3
COL1A2	OI4	ENSG00000164692	Collagen, type I, alpha 2	7	94394561-94431232	Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB032650	Uncertain				Expressed in all			gallbladder: 1364.0
COL20A1	KIAA1510	ENSG00000101203	Collagen, type XX, alpha 1	20	63293186-63334851	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA051962	Uncertain				Tissue enriched	7	cerebral cortex: 5.9	testis: 0.8
COL21A1		ENSG00000124749	Collagen, type XXI, alpha 1	6	56056590-56394094	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA031210, HPA031212, HPA031213	Uncertain		Uncertain	Vesicles, Microtubule organizing center	Tissue enhanced	0	placenta: 16.7	endometrium: 11.4
COL22A1		ENSG00000169436	Collagen, type XXII, alpha 1	8	138588235-138914006	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA024830	Uncertain		Supportive	Vesicles, Endoplasmic reticulum	Tissue enhanced	0	adrenal gland: 5.9	prostate: 2.2
COL24A1		ENSG00000171502	Collagen, type XXIV, alpha 1	1	85729233-86156943	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level							Mixed			ovary: 2.0
COL26A1	EMI6, EMID2, Emu2	ENSG00000160963	Collagen, type XXVI, alpha 1	7	101362820-101559024	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA027059			Uncertain	Nucleus but not nucleoli, Vesicles	Tissue enhanced	0	cerebral cortex: 4.8	kidney: 1.9
COL27A1	FLJ11895, KIAA1870, MGC11337	ENSG00000196739	Collagen, type XXVII, alpha 1	9	114155560-114312511	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA021884, HPA048471	Uncertain				Mixed			endometrium: 21.5
COL28A1		ENSG00000215018	Collagen, type XXVIII, alpha 1	7	7356203-7535853	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA060468	Uncertain				Tissue enhanced	0	salivary gland: 8.1	fallopian tube: 5.0
COL2A1	AOM, SEDC, STL1	ENSG00000139219	Collagen, type II, alpha 1	12	47972965-48004486	Cancer-related genes, Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB002214	Uncertain				Tissue enhanced	0	prostate: 1.1;stomach: 1.9;testis: 0.9	placenta: 0.2
COL3A1	EDS4A	ENSG00000168542	Collagen, type III, alpha 1	2	188974320-189012746	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA007583, CAB016766	Uncertain				Tissue enhanced	0	gallbladder: 1988.3;smooth muscle: 1755.6	placenta: 1620.5
COL4A1		ENSG00000187498	Collagen, type IV, alpha 1	13	110148963-110307149	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB001695, HPA054039	Uncertain		Uncertain	Nucleus but not nucleoli, Cytoplasm	Tissue enhanced	0	placenta: 654.0	smooth muscle: 246.7
COL4A2	DKFZp686I14213, FLJ22259	ENSG00000134871	Collagen, type IV, alpha 2	13	110305812-110513027	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB010751, HPA029118	Supportive		Supportive	Vesicles	Tissue enhanced	0	placenta: 511.4	smooth muscle: 227.6
COL4A3		ENSG00000169031	Collagen, type IV, alpha 3 (Goodpasture antigen)	2	227164565-227314792	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA042064	Uncertain		Supportive	Vesicles, Endoplasmic reticulum	Tissue enhanced	0	kidney: 13.2;lung: 12.1	thyroid gland: 9.8
COL4A4	CA44	ENSG00000081052	Collagen, type IV, alpha 4	2	227002711-227164113	Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level						Mixed			kidney: 8.3
COL4A5	ASLN, ATS	ENSG00000188153	Collagen, type IV, alpha 5	X	108439844-108697545	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA065449			Supportive	Vesicles	Mixed			endometrium: 43.4
COL4A6		ENSG00000197565	Collagen, type IV, alpha 6	X	108155607-108439497	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level						Tissue enhanced	0	smooth muscle: 21.0	endometrium: 18.2
COL5A1		ENSG00000130635	Collagen, type V, alpha 1	9	134641774-134844843	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA030769	Uncertain		Uncertain	Vesicles	Mixed			placenta: 91.5
COL5A2		ENSG00000204262	Collagen, type V, alpha 2	2	189031896-189179879	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA047922			Uncertain	Nucleus, Nucleoli	Mixed			smooth muscle: 79.6
COL5A3		ENSG00000080573	Collagen, type V, alpha 3	19	9959561-10010471	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA048256	Uncertain				Tissue enhanced	0	placenta: 27.8	adipose tissue: 19.3
COL6A1		ENSG00000142156	Collagen, type VI, alpha 1	21	45981737-46005050	Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA019142, HPA029401	Supportive		Uncertain	Cytoplasm	Mixed			placenta: 276.7
COL6A2		ENSG00000142173	Collagen, type VI, alpha 2	21	46098097-46132849	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA007029	Uncertain		Uncertain	Cytoplasm, Plasma membrane	Expressed in all			placenta: 313.4
COL6A3		ENSG00000163359	Collagen, type VI, alpha 3	2	237324003-237414375	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA010080	Uncertain				Mixed			smooth muscle: 271.3
COL6A5	COL29A1, FLJ35880, VWA4	ENSG00000172752	Collagen, type VI, alpha 5	3	130345516-130484844	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level		Evidence at protein level	HPA043138	Uncertain				Tissue enhanced	0	lung: 3.3;skin: 6.7	small intestine: 1.4
COL6A6		ENSG00000206384	Collagen, type VI, alpha 6	3	130560334-130678155	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA045239	Uncertain				Tissue enhanced	0	lung: 6.1	heart muscle: 1.5
COL7A1	EBD1, EBDCT, EBR1	ENSG00000114270	Collagen, type VII, alpha 1	3	48564073-48595267	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB016357, HPA042420	Supportive				Tissue enriched	5	skin: 65.6	prostate: 12.4
COL8A1	C3orf7, MGC9568	ENSG00000144810	Collagen, type VIII, alpha 1	3	99638475-99799226	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA053107	Supportive		Supportive	Vesicles	Tissue enhanced	0	urinary bladder: 44.1	thyroid gland: 33.3
COL8A2	FECD, FECD1, PPCD, PPCD2	ENSG00000171812	Collagen, type VIII, alpha 2	1	36095236-36125220	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA049788	Uncertain				Mixed			placenta: 10.3
COL9A1		ENSG00000112280	Collagen, type IX, alpha 1	6	70215061-70303083	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level						Tissue enriched	7	prostate: 16.4	testis: 2.2
COL9A2	EDM2, MED	ENSG00000049089	Collagen, type IX, alpha 2	1	40300487-40317816	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA056316	Uncertain		Uncertain	Vesicles, Nucleus	Mixed			stomach: 12.3
COL9A3	DJ885L7.4.1, EDM3, FLJ90759, IDD, MED	ENSG00000092758	Collagen, type IX, alpha 3	20	62816244-62841159	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA040125, HPA058323	Uncertain		Uncertain	Nucleus but not nucleoli, Cytoskeleton (Intermediate filaments)	Group enriched	10	cerebral cortex: 3.6;salivary gland: 10.7;testis: 3.6;thyroid gland: 5.7	placenta: 0.6
COLEC10	CL-L1	ENSG00000184374	Collectin sub-family member 10 (C-type lectin)	8	118995452-119106582	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA024511	Uncertain				Group enriched	9	liver: 34.6;placenta: 8.0	thyroid gland: 2.4
COLEC11	CL-K1, MGC3279	ENSG00000118004	Collectin sub-family member 11	2	3594832-3644644	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA035241	Uncertain				Tissue enhanced	0	gallbladder: 58.6;liver: 33.3	adrenal gland: 20.7
COLGALT1	FLJ22329, GLT25D1	ENSG00000130309	Collagen beta(1-O)galactosyltransferase 1	19	17555594-17583162	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA047821	Uncertain		Uncertain	Vesicles	Expressed in all			placenta: 36.2
COLGALT2	C1orf17, GLT25D2, KIAA0584	ENSG00000198756	Collagen beta(1-O)galactosyltransferase 2	1	183929854-184037729	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA031749, HPA031750	Uncertain		Uncertain	Nucleus, Vesicles	Tissue enhanced	0	cerebral cortex: 22.1	adrenal gland: 5.3
COLQ	EAD	ENSG00000206561	Collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase	3	15450133-15521751	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level							Tissue enhanced	0	fallopian tube: 9.9;heart muscle: 10.8	lymph node: 4.9
COMP	EDM1, EPD1, MED, PSACH, THBS5	ENSG00000105664	Cartilage oligomeric matrix protein	19	18782773-18791314	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level						Tissue enhanced	0	gallbladder: 15.7	smooth muscle: 10.2
COPS6	CSN6, MOV34-34KD	ENSG00000168090	COP9 signalosome subunit 6	7	100088954-100092200	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA044315	Uncertain		Supportive	Nucleus but not nucleoli	Expressed in all			fallopian tube: 76.7
COQ6	CGI-10	ENSG00000119723	Coenzyme Q6 monooxygenase	14	73949926-73963670	Disease related genes, Mitochondrial proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA051371	Uncertain				Expressed in all			adrenal gland: 22.4
CORT	MGC32686	ENSG00000241563	Cortistatin	1	10449719-10451902	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level							Tissue enriched	27	cerebral cortex: 10.3	testis: 0.3
CP		ENSG00000047457	Ceruloplasmin (ferroxidase)	3	149162410-149222055	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA001834, CAB008591	Supportive				Tissue enriched	29	liver: 481.3	urinary bladder: 16.7
